# X,Y,Z,HeatFlux
748.9542439779,219.7423706055,-1582.6339925130,0.0000000000
750.2445475260,218.5388743083,-1582.3050944010,0.0000000000
746.3594767253,224.8404286702,-1582.9563395182,0.0000000000
746.0684611003,223.1001434326,-1583.2852376302,0.0000000000
745.8857218424,226.2878112793,-1582.9497884115,0.0000000000
749.4256998698,221.0765228271,-1582.2891845703,0.0000000000
752.1169230143,220.8159535726,-1581.3183186849,0.0000000000
751.2438151042,215.5950927734,-1582.3050944010,0.0000000000
748.1633097331,222.2495371501,-1582.6115315755,0.0000000000
751.0070393880,221.6133168538,-1581.6313476562,0.0000000000
753.1161905924,217.8721669515,-1581.3183186849,0.0000000000
754.1154581706,214.9283854167,-1581.3183186849,0.0000000000
752.8251546224,216.1318817139,-1581.6472574870,0.0000000000
754.9885457357,220.1492411296,-1580.3315836589,0.0000000000
756.8608805339,222.4263203939,-1579.3448893229,0.0000000000
757.8601888021,219.4825337728,-1579.3448893229,0.0000000000
756.5698649089,220.6860300700,-1579.6737874349,0.0000000000
756.9871012370,214.2616780599,-1580.3315836589,0.0000000000
758.8594767253,216.5387522380,-1579.3448893229,0.0000000000
759.8587443034,213.5949707031,-1579.3448893229,0.0000000000
758.5684407552,214.7984670003,-1579.6737874349,0.0000000000
757.5691731771,217.7422485352,-1579.6737874349,0.0000000000
755.6967976888,215.4651743571,-1580.6604817708,0.0000000000
754.6975301107,218.4089558919,-1580.6604817708,0.0000000000
755.9878336589,217.2054595947,-1580.3315836589,0.0000000000
744.2344156901,228.5030517578,-1583.2852376302,0.0000000000
744.5492960612,230.2248026530,-1582.9497884115,0.0000000000
743.0665486654,231.9434356689,-1583.2852376302,0.0000000000
743.3575846354,233.6837209066,-1582.9563395182,0.0000000000
741.2325236003,237.3463389079,-1583.2852376302,0.0000000000
741.5433553060,239.0800323486,-1582.9497884115,0.0000000000
742.8797810872,235.1430460612,-1582.9497884115,0.0000000000
740.3556722005,242.5270182292,-1582.9563395182,0.0000000000
740.0646565755,240.7867279053,-1583.2852376302,0.0000000000
739.8738199870,243.9982859294,-1582.9497884115,0.0000000000
738.2306111654,246.1896362305,-1583.2852376302,0.0000000000
738.5373942057,247.9352722168,-1582.9497884115,0.0000000000
756.6517944336,224.1564025879,-1579.2038167318,0.0000000000
761.0438639323,225.6473083496,-1577.3767903646,0.0000000000
758.5617472331,224.1777954102,-1578.4886881510,0.0000000000
761.6048990885,224.0366872152,-1577.3715006510,0.0000000000
765.4359130859,227.1382141113,-1575.5497233073,0.0000000000
764.4765421549,223.3699849447,-1576.3847249349,0.0000000000
766.3488972982,225.6470591227,-1575.3979899089,0.0000000000
767.3481852214,222.7032775879,-1575.3979899089,0.0000000000
766.0578816732,223.9067738851,-1575.7268880208,0.0000000000
763.4628906250,224.7471771240,-1576.5884602865,0.0000000000
760.1430867513,224.7145843506,-1577.8308919271,0.0000000000
762.5056762695,224.9694112142,-1576.9173990885,0.0000000000
755.5750528971,223.1639506022,-1579.7311197917,0.0000000000
763.5626627604,211.5538940430,-1578.2217610677,0.0000000000
762.7303873698,212.9282633464,-1578.3581949870,0.0000000000
764.6027425130,215.2053426107,-1577.3715006510,0.0000000000
764.3117268880,213.4650522868,-1577.7003987630,0.0000000000
766.7397054036,213.1339721680,-1576.8366292318,0.0000000000
765.1583862305,212.5971781413,-1577.4944661458,0.0000000000
766.4750773112,217.4824167887,-1576.3847249349,0.0000000000
